Location ,TP ,FL ,Size ,N,C,Sample ID,,,
Chagos ,1.676020997,170,1,8.06,-10.78,CSO-115,,,9.118846154
Chagos ,1.773051818,173,1,8.35,-10.93,CSO-123,,,
Chagos ,1.6979293,179,1,8.13,-8.73,CSO-106,,,
Chagos ,1.769713477,181,1,8.38,-11.43,CSO-64,,,
Chagos ,1.797440295,181,1,8.43,-10.53,CSO-113,,,
Chagos ,2.173439824,196,2,9.75,-13.99,CSO-30,,,
Chagos ,2.11912906,202,2,9.57,-12.82,CSO-22,,,
Chagos ,2.168461061,204,2,9.73,-12.06,CSO-23,,,
Chagos ,2.024348698,205,2,9.24,-11.89,CSO-28,,,
Chagos ,1.859667309,208,2,8.68,-10.8,CSO-37,,,
Chagos ,1.951162822,215,3,8.99,-11.06,CSO-02,,,
Chagos ,2.076459073,218,3,9.42,-11.16,CSO-16,,,
Chagos ,2.076401786,218,3,9.42,-12.56,CSO-19,,,
Chagos ,2.124249653,218,3,9.58,-12.8,CSO-19,,,
Chagos ,1.891990759,222,3,8.79,-9.41,CSO-03,,,
Chagos ,1.812539913,227,3,8.52,-12.42,CSO-01,,,
Chagos ,1.879115135,242,4,8.75,-9.91,CSO-48,,,
Chagos ,2.062931983,243,4,9.37,-12.43,CSO-21,,,
Chagos ,2.053117204,244,4,9.34,-11.94,CSO-34,,,
Chagos ,1.964055434,246,4,9.04,-12.28,CSO-70,,,
Chagos ,2.130535943,250,4,9.56,-12.91,CSO-15,,,
Chagos ,1.99981847,268,5,9.16,-10.23,CSO-71,,,
Chagos ,2.22256626,269,5,9.92,-12.07,CSO-12,,,
Chagos ,2.236993311,275,5,9.97,-12.19,CSO-09,,,
Chagos ,1.922298577,276,5,8.9,-11.93,CSO-56,,,
Chagos ,2.259053451,279,5,10.04,-12.4,CSO-06,,,
SR,,211,3,7.36,-10.68,S-087,,,
SR,NA,190,2,5.98,-8.6,S-090,,,6.549
SR,NA,212,3,6.28,-9.82,S-131,,,
SR,NA,190,2,6.23,-9.71,S-136,,,
SR,NA,190,2,5.8,-8.58,S-138,,,
SR,NA,193,2,5.46,-9.39,S-139,,,
SR,NA,215,3,6.75,-9.21,S-184,,,
SR,NA,197,2,7.08,-11.36,S-091,,,
SR,NA,211,3,7.05,-8.64,S-179,,,
SR,NA,218,3,7.5,-9.97,S-182,,,
